DATE,CLOSE,HIGH,LOW,PREV. CLOSE,VWAP,NO OF TRADES,OPEN
02/08/2023,2473.55,2514.0,2451.0,2481.1,2486.61,92290,2493.0
03/08/2023,2532.6,2550.0,2462.0,2473.55,2516.19,164423,2469.9
04/08/2023,2541.8,2557.9,2502.0,2532.6,2535.26,91387,2545.3
07/08/2023,2550.5,2569.0,2516.4,2541.8,2545.71,104084,2550.95
08/08/2023,2474.55,2563.25,2461.3,2550.5,2496.62,165124,2563.25
09/08/2023,2507.1,2516.9,2472.0,2474.55,2500.07,137283,2488.35
10/08/2023,2552.4,2577.5,2510.0,2507.1,2549.54,186434,2510.0
11/08/2023,2539.5,2568.15,2518.2,2552.4,2552.42,153795,2550.05
14/08/2023,2456.0,2484.95,2400.05,2539.5,2450.44,250812,2480.0
16/08/2023,2445.1,2465.0,2420.0,2456.0,2450.99,130359,2450.0
17/08/2023,2479.7,2487.2,2442.05,2445.1,2462.66,134500,2454.95
18/08/2023,2577.4,2665.95,2461.3,2479.7,2562.98,344747,2477.5
21/08/2023,2639.75,2655.0,2580.5,2577.4,2630.61,216694,2588.0
22/08/2023,2698.05,2721.0,2654.1,2639.75,2696.4,216090,2668.85
23/08/2023,2530.3,2722.4,2488.85,2698.05,2603.2,189702,2720.0
24/08/2023,2539.55,2613.0,2531.1,2530.3,2574.82,157473,2580.0
25/08/2023,2495.75,2549.0,2486.0,2539.55,2511.47,102176,2549.0
28/08/2023,2472.45,2582.0,2455.65,2495.75,2499.94,147610,2550.0
29/08/2023,2506.45,2536.65,2445.0,2472.45,2503.76,164344,2472.1
30/08/2023,2513.1,2543.0,2492.4,2506.45,2525.87,116612,2517.0
31/08/2023,2419.25,2489.95,2383.75,2513.1,2437.26,209189,2449.95
01/09/2023,2450.05,2465.55,2380.0,2419.25,2441.84,169694,2381.0
04/09/2023,2470.6,2480.0,2450.05,2450.05,2470.54,104932,2454.0
05/09/2023,2494.05,2501.4,2464.0,2470.6,2488.19,124950,2482.0
06/09/2023,2496.5,2504.0,2471.0,2494.05,2493.74,129014,2494.05
07/09/2023,2509.5,2520.0,2485.0,2496.5,2506.0,65954,2498.0
08/09/2023,2519.3,2538.6,2506.1,2509.5,2526.49,91658,2513.8
11/09/2023,2614.95,2630.25,2546.0,2519.3,2581.13,181137,2565.0
12/09/2023,2535.7,2626.6,2530.0,2614.95,2555.52,147400,2622.45
13/09/2023,2518.9,2566.95,2496.0,2535.7,2528.52,64129,2545.7
14/09/2023,2519.8,2545.0,2506.05,2518.9,2524.05,66834,2541.85
15/09/2023,2540.05,2558.0,2514.2,2519.8,2539.2,59448,2519.8
18/09/2023,2502.45,2555.0,2491.0,2540.05,2521.46,41768,2552.0
20/09/2023,2470.3,2533.65,2458.9,2502.45,2489.13,53694,2502.4
21/09/2023,2479.25,2503.8,2461.0,2470.3,2482.4,72931,2479.8
22/09/2023,2464.9,2498.0,2460.0,2479.25,2474.07,44391,2489.95
25/09/2023,2482.1,2489.0,2424.0,2464.9,2460.35,62473,2479.95
26/09/2023,2457.95,2499.0,2452.6,2482.1,2474.46,35719,2491.0
27/09/2023,2483.3,2498.0,2445.1,2457.95,2475.27,42234,2460.0
28/09/2023,2475.25,2511.0,2446.7,2483.3,2478.59,75079,2489.95
29/09/2023,2413.9,2479.55,2405.05,2475.25,2430.24,81407,2462.05
03/10/2023,2387.25,2424.9,2372.0,2413.9,2395.35,70447,2418.0
04/10/2023,2464.95,2502.75,2392.25,2387.25,2451.95,124922,2402.2
05/10/2023,2466.35,2486.5,2446.4,2464.95,2464.12,64651,2477.95
06/10/2023,2478.1,2514.95,2466.05,2466.35,2491.17,59609,2466.35
09/10/2023,2442.6,2459.7,2411.3,2478.1,2435.04,59652,2440.0
10/10/2023,2498.3,2517.95,2443.0,2442.6,2492.25,70051,2443.0
11/10/2023,2488.6,2538.0,2482.5,2498.3,2512.68,56575,2533.9
12/10/2023,2506.35,2521.75,2490.65,2488.6,2506.49,59299,2499.9
13/10/2023,2454.55,2495.0,2422.35,2506.35,2446.51,97378,2488.9
